Index,Date,Bitcoin,Ethereum,Tether,BNB,Solana,Lido Staked Ether,XRP,USDC,Cardano,Dogecoin
1,2024-03-07 20.30.37,67053,3915.81,1.002,472.5,145.36,3911.31,0.629537,0.999944,0.745276,0.164527
2,2024-03-07 20.45.46,66991,3910.53,1.001,469.16,145.5,3905.72,0.629089,0.999887,0.741356,0.164565
3,2024-03-16 12.05.53,68123,3660.45,0.999068,594.13,192.36,3657.02,0.620674,0.999105,0.697006,0.152238
5,2024-03-16 13.42.42,66828,3591.13,1.0,586.48,183.52,3584.23,0.603634,0.997612,0.67164,0.143294
6,2024-03-16 14.14.20,67561,3628.81,1.003,588.45,185.16,3622.26,0.611661,1.004,0.678185,0.145804
7,2024-03-16 14.30.59,67312,3613.1,0.998763,586.51,184.45,3610.54,0.610624,0.998201,0.675641,0.14568
9,2024-03-16 14.41.42,67476,3626.31,0.99969,588.05,184.76,3622.05,0.613173,1.001,0.676668,0.146187
10,2024-03-16 15.52.53,67394,3624.65,1.001,590.41,183.8,3621.19,0.612892,1.002,0.673255,0.144911
11,2024-03-16 16.09.38,67169,3615.93,0.998551,588.33,184.06,3613.21,0.61128,0.998961,0.671386,0.144173
12,2024-03-16 16.14.49,66855,3599.99,0.999013,584.96,182.34,3606.3,0.608669,0.996999,0.669282,0.143101
13,2024-03-16 20.28.20,65717,3543.49,0.999303,577.46,184.17,3541.16,0.608452,1.001,0.659168,0.142725
16,2024-03-16 20.39.09,65824,3543.03,0.999057,578.26,184.99,3535.9,0.608648,1.001,0.660054,0.143455
17,2024-03-16 20.56.30,65983,3548.91,0.999906,580.24,185.96,3540.94,0.609605,1.002,0.661848,0.1441
18,2024-03-16 21.01.41,65990,3547.09,0.998661,580.65,186.07,3534.97,0.609099,1.001,0.662248,0.144223
15,2024-03-16 21.10.07,66190,3559.38,1.001,582.79,186.0,3555.62,0.610707,1.002,0.665393,0.144601
16,2024-03-16 21.24.10,66070,3556.96,0.998844,583.51,185.2,3551.02,0.610443,0.999841,0.664409,0.144463
17,2024-03-16 21.34.33,66221,3569.24,0.999691,585.5,185.46,3560.27,0.613143,1.001,0.667645,0.145196
18,2024-03-16 21.44.55,66281,3567.35,1.001,586.7,185.23,3560.96,0.612616,1.0,0.668357,0.145935
19,2024-03-16 21.57.12,66385,3572.76,0.999732,588.68,186.66,3568.44,0.614001,1.001,0.671118,0.14658
20,2024-03-16 22.08.35,66335,3568.24,1.001,588.12,187.33,3566.85,0.61361,0.999077,0.670013,0.14668
21,2024-03-16 22.19.57,66285,3563.94,0.999387,586.23,186.43,3561.53,0.614143,0.99937,0.669349,0.146329
22,2024-03-16 22.31.20,66199,3559.57,0.998954,585.65,185.35,3557.02,0.614601,0.999219,0.668779,0.146087
23,2024-03-16 22.42.42,66455,3567.27,1.0,588.23,185.22,3562.72,0.615078,1.002,0.671765,0.146571
24,2024-03-16 22.54.05,66518,3572.36,1.0,588.91,185.72,3566.59,0.615283,1.002,0.672508,0.146857
